ubigeo,department,province,district,idh,monetary_poverty,life_expectancy,complete_secondary_education,years_education,family_income,number_hh,hh_1_nib_or_more,hh_inadequate_characteristics,overcrowded_housing,hh_wo_bathrooms,hh_children_not_attending_school,hh_high_economic_dependence
180206,MOQUEGUA,GENERAL SANCHEZ CERRO,LLOQUE,0.520965574,0.2429267,88.99762577,0.545454545,7.0592,762.0033887,254,73,18,27,38,0,2
180207,MOQUEGUA,GENERAL SANCHEZ CERRO,MATALAQUE,0.504648377,0.29977255,82.73918133,0.529411765,7.0829,776.7804421,234,50,5,10,36,1,1
180208,MOQUEGUA,GENERAL SANCHEZ CERRO,PUQUINA,0.498466554,0.1708282,80.96362725,0.716535433,7.0609,670.2807586,990,184,17,89,92,1,6
180209,MOQUEGUA,GENERAL SANCHEZ CERRO,QUINISTAQUILLAS,0.61846394,0.10066104,83.45880927,0.565217391,8.8187,1167.320658,233,49,32,11,25,0,0
180210,MOQUEGUA,GENERAL SANCHEZ CERRO,UBINAS,0.488398386,0.2429267,84.13715554,0.615384615,6.2035,701.9637934,783,142,21,39,95,2,6
180211,MOQUEGUA,GENERAL SANCHEZ CERRO,YUNGA,0.517722493,0.2429267,82.25034422,0.782608696,7.1545,694.9234335,417,100,29,24,75,0,5
180301,MOQUEGUA,ILO,ILO,0.637329293,0.06166155,80.23538583,0.745508427,10.2239,1077.326342,20911,3493,2622,877,121,177,106
180302,MOQUEGUA,ILO,EL ALGARROBAL,0.594017654,0.08885689,80.93410854,0.655339806,9.3339,974.919115,1415,828,759,133,26,9,7
180303,MOQUEGUA,ILO,PACOCHA,0.68006403,0.01030027,80.76422867,0.72,12.5639,1164.158702,1469,63,39,17,2,4,2
190101,PASCO,PASCO,CHAUPIMARCA,0.53327088,0.24613999,74.63932534,0.807062877,10.2311,687.7310593,7189,1192,41,627,469,90,101
190102,PASCO,PASCO,HUACHON,0.303914418,0.47631632,73.05278385,0.638436482,5.9954,233.9308637,1401,473,78,230,207,32,51
190103,PASCO,PASCO,HUARIACA,0.451910405,0.37810039,73.07634153,0.756906077,8.3269,516.3527766,1982,670,17,264,429,22,81
190104,PASCO,PASCO,HUAYLLAY,0.564122646,0.22799318,68.02196326,0.817275748,10.1618,924.628177,2001,610,126,344,237,24,24
190105,PASCO,PASCO,NINACACA,0.383806393,0.46894915,74.15085103,0.81512605,7.05,344.90307,1230,444,46,222,254,10,25
190106,PASCO,PASCO,PALLANCHACRA,0.34434065,0.55349316,71.8681667,0.605042017,6.8247,313.4526963,591,226,10,93,147,5,9
190107,PASCO,PASCO,PAUCARTAMBO,0.371531321,0.47135413,73.34730867,0.699507389,6.2358,370.6171972,3503,1195,56,600,672,60,67
190108,PASCO,PASCO,SAN FRANCISCO DE ASIS DE YARUSYACAN,0.578288725,0.46581661,73.06136552,0.817204301,8.6538,982.5876209,1194,276,14,115,114,43,31
190109,PASCO,PASCO,SIMON BOLIVAR,0.541544268,0.26906065,76.70903303,0.794411178,10.0109,705.2391101,3380,857,76,340,490,34,49
190110,PASCO,PASCO,TICLACAYAN,0.385383801,0.54647477,71.01158352,0.664206642,6.0319,448.5292451,1042,482,119,202,297,12,40
