type,origin,destination,weight
total,150125,150128,1192
total,150125,150129,45
total,150125,150130,1208
total,150125,150131,2610
total,150125,150132,1245
total,150125,150133,255
total,150125,150134,367
total,150125,150135,5523
total,150125,150136,1886
total,150125,150137,1085
total,150125,150139,125
total,150125,150140,2046
total,150125,150141,668
total,150125,150142,455
total,150125,150143,139
total,150126,150101,358
total,150126,150102,3
total,150126,150103,123
total,150126,150104,34
total,150126,150105,29
total,150126,150106,2
total,150126,150107,2
total,150126,150108,308
total,150126,150109,15
total,150126,150110,11
total,150126,150111,29
total,150126,150112,8
total,150126,150113,62
total,150126,150114,115
total,150126,150115,173
total,150126,150116,54
total,150126,150117,23
total,150126,150118,23
total,150126,150119,1616
total,150126,150120,16
total,150126,150122,215
total,150126,150123,125
total,150126,150124,11
total,150126,150125,5
total,150126,150126,5560
total,150126,150127,202
total,150126,150128,17
total,150126,150129,94
total,150126,150130,82
total,150126,150131,152
total,150126,150132,78
total,150126,150133,241
total,150126,150134,43
total,150126,150135,15
total,150126,150136,35
total,150126,150137,73
total,150126,150138,7
total,150126,150139,18
total,150126,150140,362
total,150126,150141,70
total,150126,150142,563
total,150126,150143,97
total,150127,150101,180
total,150127,150102,2
total,150127,150103,27
total,150127,150104,13
total,150127,150105,17
total,150127,150106,5
total,150127,150107,1
total,150127,150108,88
total,150127,150109,2
total,150127,150110,3
total,150127,150111,6
total,150127,150112,4
total,150127,150113,31
total,150127,150114,53
total,150127,150115,47
total,150127,150116,20
total,150127,150117,21
total,150127,150118,3
total,150127,150119,666
total,150127,150120,10
total,150127,150122,79
total,150127,150123,72
total,150127,150124,18
total,150127,150125,3
total,150127,150126,163
total,150127,150127,2597
total,150127,150128,6
total,150127,150129,248
total,150127,150130,39
total,150127,150131,67
total,150127,150132,15
total,150127,150133,56
total,150127,150134,18
total,150127,150135,17
total,150127,150136,10
total,150127,150137,8
total,150127,150138,8
total,150127,150140,181
total,150127,150141,21
total,150127,150142,96
total,150127,150143,23
total,150128,150101,16366
total,150128,150102,64
total,150128,150103,1377
total,150128,150104,308
total,150128,150105,2256
total,150128,150106,150
total,150128,150107,18
total,150128,150108,701
total,150128,150109,17
total,150128,150110,696
total,150128,150111,412
total,150128,150112,1184
total,150128,150113,2787
total,150128,150114,1315
total,150128,150115,3408
total,150128,150116,2709
total,150128,150117,2458
total,150128,150118,505
total,150128,150119,298
total,150128,150120,706
total,150128,150122,3082
total,150128,150123,57
total,150128,150124,33
total,150128,150125,327
total,150128,150126,27
total,150128,150127,4
total,150128,150128,64044
total,150128,150129,14
total,150128,150130,1341
total,150128,150131,4032
total,150128,150132,2936
total,150128,150133,245
total,150128,150134,411
total,150128,150135,2081
total,150128,150136,1263
total,150128,150137,1109
total,150128,150139,4
total,150128,150140,1947
total,150128,150141,912
total,150128,150142,316
total,150128,150143,112
