ubigeo_ori,ubigeo_des,cases,dept_ori,prov_ori,distr_ori,dept_des,prov_des,distr_des
150407,150103,17,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,LIMA,ATE
150407,150105,3,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,LIMA,BRENA
150407,150106,65,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,LIMA,CARABAYLLO
150407,150108,2,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,LIMA,CHORRILLOS
150407,150110,37,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,LIMA,COMAS
150407,150112,9,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,LIMA,INDEPENDENCIA
150407,150114,4,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,LIMA,LA MOLINA
150407,150115,7,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,LIMA,LA VICTORIA
150407,150116,1,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,LIMA,LINCE
150407,150117,8,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,LIMA,LOS OLIVOS
150407,150118,4,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,LIMA,LURIGANCHO
150407,150119,6,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,LIMA,LURIN
150407,150122,2,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,LIMA,MIRAFLORES
150407,150123,1,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,LIMA,PACHACAMAC
150407,150125,9,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,LIMA,PUENTE PIEDRA
150407,150128,9,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,LIMA,RIMAC
150407,150130,2,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,LIMA,SAN BORJA
150407,150132,12,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,LIMA,SAN JUAN DE LURIGANCHO
150407,150133,4,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,LIMA,SAN JUAN DE MIRAFLORES
150407,150134,1,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,LIMA,SAN LUIS
150407,150135,15,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,LIMA,SAN MARTIN DE PORRES
150407,150136,1,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,LIMA,SAN MIGUEL
150407,150137,3,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,LIMA,SANTA ANITA
150407,150140,9,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,LIMA,SANTIAGO DE SURCO
150407,150141,4,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,LIMA,SURQUILLO
150407,150143,5,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,LIMA,VILLA MARIA DEL TRIUNFO
150407,150202,2,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,BARRANCA,PARAMONGA
150407,150401,4,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,CANTA,CANTA
150407,150402,3,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,CANTA,ARAHUAY
150407,150403,2,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,CANTA,HUAMANTANGA
150407,150404,1,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,CANTA,HUAROS
150407,150405,4,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,CANTA,LACHAQUI
150407,150407,4588,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,CANTA,SANTA ROSA DE QUIVES
150407,150501,1,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,CANETE,SAN VICENTE DE CANETE
150407,150505,1,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,CANETE,CHILCA
150407,150601,3,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,HUARAL,HUARAL
150407,150604,4,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,HUARAL,AUCALLAMA
150407,150611,8,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,HUARAL,SUMBILCA
150407,150709,16,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,HUAROCHIRI,HUAROCHIRI
150407,150714,1,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,HUAROCHIRI,RICARDO PALMA
150407,150716,1,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,HUAROCHIRI,SAN ANTONIO
150407,150731,1,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,HUAROCHIRI,SANTO DOMINGO DE LOS OLLEROS
150407,150801,1,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,HUAURA,HUACHO
150407,150806,1,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,HUAURA,HUAURA
150407,151019,2,LIMA,CANTA,SANTA ROSA DE QUIVES,LIMA,YAUYOS,LINCHA
150501,070101,73,LIMA,CANETE,SAN VICENTE DE CANETE,CALLAO,CALLAO,CALLAO
150501,070102,18,LIMA,CANETE,SAN VICENTE DE CANETE,CALLAO,CALLAO,BELLAVISTA
150501,070103,6,LIMA,CANETE,SAN VICENTE DE CANETE,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO
150501,070104,8,LIMA,CANETE,SAN VICENTE DE CANETE,CALLAO,CALLAO,LA PERLA
150501,070105,2,LIMA,CANETE,SAN VICENTE DE CANETE,CALLAO,CALLAO,LA PUNTA
150501,070106,35,LIMA,CANETE,SAN VICENTE DE CANETE,CALLAO,CALLAO,VENTANILLA
150501,150101,175,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,LIMA
150501,150102,4,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,ANCON
150501,150103,204,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,ATE
150501,150104,9,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,BARRANCO
150501,150105,48,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,BRENA
150501,150106,38,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,CARABAYLLO
150501,150107,7,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,CHACLACAYO
150501,150108,142,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,CHORRILLOS
150501,150109,77,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,CIENEGUILLA
150501,150110,95,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,COMAS
150501,150111,41,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,LIMA,EL AGUSTINO
