ubigeo,ntl
120108,0.3983976
120111,0.6016608
120112,0.3194385
120113,0.4361627
120114,4.9463556
120116,0.8441657
120117,2.4042013
120119,11.5360578
120120,0.2979313
120121,4.476567
120122,0.6394031
120124,0.3683653
120125,12.4997586
120126,0.5715122
120127,0.5781145
120128,0.4967109
120129,5.5657955
120130,3.1266224
120132,2.6630513
120133,1.3980113
120134,3.1485276
120135,0.3609488
120136,3.3622187
120201,7.1037854
120202,0.6976448
120203,0.346396
120204,0.4153276
120205,0.3401015
120206,0.3205235
120207,0.6098645
120208,0.86133439999999994
120209,0.4160373
120210,1.8134314
120211,1.2259201
120212,2.1451125
120213,1.7985557
120214,0.3560474
120215,1.36282
120301,0.5794496
120302,0.5031003
120303,0.5182464
120304,0.4712684
120305,0.6038808
120306,0.3642046
120401,8.8505432
120402,0.6458715
120403,0.3414748
120404,1.7203257
120405,0.3119893
120406,0.4525832
120407,1.2864141
120408,1.0911517
120409,1.1901208
120410,1.6544474
120411,0.3841441
120412,0.7856002
120413,0.843101
120414,0.4115733
120415,0.6433001
120416,1.0827429
120417,0.4519701
120418,0.3311587
120419,0.3555477
120420,1.2343967
120421,0.9875849
120422,0.5326498
120423,0.3526041
120424,1.3837043
120425,0.494574
120426,0.2852484
120427,0.2778578
120428,1.3021012
120429,0.8575767
120430,6.1067578
120431,0.4163495
120432,0.4397667
120433,0.333173
120434,1.8158898
120501,0.3916589
120502,0.6233335
120503,0.3498607
120504,0.3911786
120601,0.5081681
120602,0.5039978
120603,0.4344511
120604,0.3535994
120605,0.3417244
120606,0.3264664
120607,0.4430619
120608,0.3147053
120609,0.3438504
120701,1.0393348
120702,0.9488531
120703,0.3310697
120704,0.3723195
120705,1.8428629
120706,0.4457589
120707,0.4106676
120708,0.3446635
120709,0.3720718
120801,0.9176176
120802,0.3033322
120803,1.0818642
120804,0.3186284
120805,1.2724185
120806,0.4864061
120807,0.480739
120808,1.4411656
120809,0.3482752
120810,2.1404298
120901,4.8583178
120902,0.8328103
120903,0.6313361
120904,1.4163848
120905,8.0477965
120906,0.9560362
120907,0.3428898
120908,2.5026635
120909,0.3280826
130101,38.4314242
130102,14.5906686
130103,34.6013592
130104,3.1294088
130105,27.9725685
130106,1.4608294
130107,9.7104257
130108,0.6152546
130109,1.6622593
130110,0.4741512
130111,31.3664456
130201,0.6497201
130202,3.2723791
130203,5.5625168
130204,0.8187178
130205,6.4216707
130206,1.1048264
130207,3.0990191
130208,0.759191
130301,0.3632675
130302,0.3430897
130303,0.3238358
130304,0.3789078
130305,0.4230445
130306,0.3686315
130401,1.529841
130402,0.7810789
130403,0.7210687
130501,0.4642745
130502,0.3662629
130503,0.3790667
130504,0.3400643
130601,0.6016444
130602,0.6984478
130604,0.5563838
130605,0.4855517
130606,0.4040773
130608,0.9278462
130610,0.4196755
130611,0.533291
130613,0.443312
130614,0.5192711
130701,0.8684378
130702,2.6847887
130703,2.3224951
130704,7.4643599
130705,1.1267771
130801,0.4937082
130802,0.439472
130803,0.3520865
130804,0.4920864
130805,0.4211191
130806,0.3986842
130807,0.3529054
130808,1.3898867
130809,0.7391422
130810,0.5605508
130811,0.3762701
130812,0.3570925
130813,0.39396
130901,1.5733706
130902,0.4019555
130903,0.5794478
130904,0.6137472
130905,0.4591035
130906,0.418423
130907,0.3856709
130908,0.3704822
131001,0.3839915
131002,0.4322793
131003,0.4067419
131004,0.4262151
131005,0.5934925
131006,0.7026999
131007,0.360487
131008,0.3727372
131101,0.4668937
131102,0.4366426
131103,0.4225921
131104,0.4086195
131201,0.7289086
131202,0.5909829
131203,0.4942456
140101,26.3168552
140102,0.5188933
140103,1.5854618
140104,2.5670106
140105,17.2132934
140106,9.7921468
140107,0.6377093
140108,4.5494125
140109,0.4542783
140110,0.506961
140111,2.2760143
140112,11.6059873
140113,4.4725557
140114,3.5422606
140115,0.8924604
140116,0.7563348
140117,0.9405879
140118,3.0181849
140119,0.6747031
140120,1.5792019
140201,3.2084759
140202,0.5974307
140203,0.3476666
140204,0.5889585
140205,0.5071444
140206,2.3993022
140301,1.8392558
140302,0.510336
140303,1.5219994
140304,0.5075921
140305,0.8394607
140306,0.4965391
140307,0.7837356
140308,0.4446638
140309,0.7546644
140310,0.3717755
140311,2.4745814
140312,1.2906422
150101,100.576536
150102,3.8777244
150103,56.5214991
150104,87.8551749
150105,91.9967698
150106,11.9972611
150107,13.4188745
150108,65.4445129
150109,4.4912043
150110,59.7083674
150111,73.8306034
150112,67.3047678
150113,103.5373999
150114,52.4597799
150115,114.013564
150116,126.0030932
150117,107.0526764
150118,16.0278398
150119,15.3167346
150120,86.6304955
150121,113.0538757
150122,98.2034855
150123,9.0381501
150124,7.6596437
150125,46.3977445
150126,5.0393118
150127,3.4370083
150128,62.0366318
150129,4.7182176
150130,134.3409512
150131,101.1064954
150132,46.1681198
150133,113.5398123
150134,122.9456892
150135,96.2899342
150136,103.5083203
150137,124.5142249
150138,8.6063801
150139,24.4498549
150140,91.1343774
150141,140.6732834
150142,113.3909125
150143,56.0205727
150201,3.454473
150202,0.9763563
150203,1.0431166
150204,0.8406515
150205,11.4244264
150301,0.3505687
150302,0.3432514
150303,0.3349862
150304,0.3629726
150305,0.3604753
150401,0.6085466
150402,0.314158
150403,0.3340987
150404,0.3221742
150405,0.3448559
150406,0.4546699
150407,0.5164935
150501,2.9767099
150502,3.3783019
150503,0.4477327
150504,2.2830725
