ubigeo,co
040121,0.029420016666666667
040122,0.027445283333333334
040123,0.027341933333333335
040124,0.027570066666666667
040125,0.02871205
040126,0.027361308333333334
040127,0.02606521666666667
040128,0.024058741666666668
040129,0.027765558333333336
040201,0.035934933333333335
040202,0.033832991666666666
040203,0.029424716666666666
040204,0.032160858333333334
040205,0.03157634166666667
040206,0.030083825
040207,0.031956616666666667
040208,0.033322391666666666
040301,0.027615241666666665
040302,0.031144316666666668
040303,0.02974045
040304,0.031451433333333334
040305,0.03298365833333333
040306,0.02467105
040307,0.032578133333333335
040308,0.029906158333333335
040309,0.027171825
040310,0.030686766666666667
040311,0.033946841666666665
040312,0.025421808333333334
040313,0.03297178333333333
040401,0.029278658333333332
040402,0.02279005833333333
040403,0.025836191666666668
040404,0.021418975
040405,0.022730691666666667
040406,0.022558475
040407,0.02859155
040408,0.022710133333333334
040409,0.021790816666666667
040410,0.023646041666666666
040411,0.026959516666666666
040412,0.026537775
040413,0.030118125
040414,0.022805033333333332
040501,0.022351975
040502,0.021959616666666668
040503,0.023142475
040504,0.022182575
040505,0.022093783333333332
040506,0.0233507
040507,0.0243895
040508,0.023073091666666667
040509,0.02284495
040510,0.021910791666666665
040511,0.023198666666666666
040512,0.021754625
040513,0.022921458333333332
040514,0.02170425
040515,0.02194225
040516,0.0221544
040517,0.022688808333333334
040518,0.021590825
040519,0.022002133333333333
040520,0.029368991666666667
040601,0.026297241666666665
040602,0.02540475
040603,0.021571433333333334
040604,0.025519075
040605,0.027080174999999998
040606,0.0293496
040607,0.020602516666666668
040608,0.02741915
040701,0.029878358333333334
040702,0.029528575
040703,0.033204033333333334
040704,0.03182975833333333
040705,0.032357758333333334
040706,0.031431491666666665
040801,0.02221585
040802,0.021988225
040803,0.023567083333333332
040804,0.021233966666666666
040805,0.021202533333333332
040806,0.021213683333333334
040807,0.026011516666666668
040808,0.027144191666666668
040809,0.026336166666666667
040810,0.022609866666666666
040811,0.025280916666666667
050101,0.030076308333333333
050102,0.026980616666666665
050103,0.028169083333333334
050104,0.028731166666666665
050105,0.026156041666666668
050106,0.028760858333333333
050107,0.030647216666666668
050108,0.028786425
050109,0.0290257
050110,0.029192333333333334
050111,0.029357641666666667
050112,0.026929441666666668
050113,0.0295533
050114,0.025257816666666665
050115,0.030343041666666667
050116,0.03018625
050201,0.02720835
050202,0.02437465
050203,0.025815808333333332
050204,0.026041875
050205,0.023230675
050206,0.024347225
050301,0.023073391666666665
050302,0.025431333333333334
050303,0.023832333333333334
050304,0.023548016666666668
050401,0.02845675
050402,0.028747358333333334
050403,0.028291516666666666
050404,0.029701108333333334
050405,0.030084549999999998
050406,0.027297666666666668
050407,0.03352615
050408,0.0373283
050409,0.04045418333333333
050410,0.02648725
050411,0.032290541666666665
050412,0.026483308333333334
050501,0.027592841666666666
050502,0.03247010833333333
050503,0.03375024166666667
050504,0.02997115
050505,0.031085625
050506,0.028978741666666665
050507,0.0345163
050508,0.0262333
050509,0.033688575
050510,0.03178603333333333
050511,0.0327106
050601,0.023443583333333334
050602,0.023868458333333335
050603,0.02405315
050604,0.023651841666666666
050605,0.025245608333333332
050606,0.022675666666666667
050607,0.028274183333333335
050608,0.024800825
050609,0.02587735
050610,0.027001466666666668
050611,0.02354925
050612,0.02795875
050613,0.026188725
050614,0.026849041666666667
050615,0.0253158
050616,0.025093258333333333
050617,0.026926791666666665
050618,0.023266225
050619,0.027024533333333333
050620,0.026333574999999998
050621,0.02714670833333333
050701,0.022693891666666667
050702,0.024707675000000002
050703,0.021789783333333333
050704,0.0236135
050705,0.026053933333333334
050706,0.024215300000000002
050707,0.023502691666666665
050708,0.0229779
050801,0.026428783333333334
050802,0.02420785
050803,0.025751108333333335
050804,0.023556666666666667
050805,0.024023941666666666
050806,0.021413783333333332
050807,0.023615325
050808,0.02373024166666667
050809,0.025005991666666668
050810,0.023603483333333335
050901,0.0264064
050902,0.028729508333333334
050903,0.02798668333333333
050904,0.028097483333333333
050905,0.0249107
050906,0.025498591666666667
050907,0.027383316666666668
050908,0.024881533333333334
050909,0.026362358333333332
050910,0.026428983333333333
050911,0.02431355
051001,0.025272508333333332
051002,0.027133891666666667
051003,0.025374983333333333
051004,0.026628883333333332
051005,0.02552115
051006,0.027499116666666667
051007,0.028334608333333334
051008,0.025170283333333335
051009,0.025183908333333335
051010,0.02625655
051011,0.024538108333333333
051012,0.023544533333333333
051101,0.027258383333333334
051102,0.028257691666666668
051103,0.028994525
051104,0.02825071666666667
051105,0.026953325
051106,0.0290012
051107,0.029004691666666665
051108,0.0269435
060101,0.028641116666666668
060102,0.029665058333333334
060103,0.029962925
060104,0.03132861666666667
060105,0.0270325
060106,0.029310825
060107,0.029721208333333332
060108,0.028653075
060109,0.0327357
060110,0.030668241666666665
060111,0.028643958333333334
060112,0.030452816666666667
060201,0.030040775
060202,0.03023425
060203,0.03232029166666667
060204,0.033043133333333335
060301,0.033717125
060302,0.034715441666666666
060303,0.033201666666666664
060304,0.02898911666666667
060305,0.03395685
060306,0.03078295
060307,0.030646775
060308,0.031360783333333336
060309,0.028130325
060310,0.0291965
060311,0.0344826
060312,0.03010268333333333
060401,0.030168141666666665
060402,0.03454825
060403,0.03248885
060404,0.03213959166666667
060405,0.03638995
060406,0.03472976666666667
060407,0.03384935
060408,0.0309243
060409,0.03427708333333333
060410,0.03111035
060411,0.03729000833333333
060412,0.03403091666666667
060413,0.030412875
060414,0.038214783333333335
060415,0.0332545
060416,0.03668045833333333
060417,0.03275553333333333
060418,0.038380275
060419,0.030835075
060501,0.03179713333333333
060502,0.03601900833333333
060503,0.034044425
060504,0.03142746666666667
060505,0.03705665833333333
060506,0.031600891666666665
060507,0.03468326666666667
060508,0.03811791666666667
060601,0.033368491666666666
060602,0.036468991666666666
060603,0.03998778333333333
060604,0.040110658333333334
060605,0.036850441666666664
060606,0.03716986666666666
060607,0.03439435
060608,0.03305251666666667
060609,0.037327316666666666
060610,0.03685644166666667
060611,0.03696399166666667
060612,0.0330661
060613,0.03712795
060614,0.033382883333333335
060615,0.03944985833333333
060701,0.029406724999999998
060702,0.029341783333333333
060703,0.027856766666666668
060801,0.03793459166666667
060802,0.041295975
060803,0.032332124999999996
060804,0.0358985
060805,0.037055983333333334
060806,0.038132825
060807,0.03395776666666667
060808,0.03635015
060809,0.032190616666666665
060810,0.03394548333333333
060811,0.035897675
060812,0.040903891666666664
060901,0.037701308333333336
060902,0.03912270833333333
060903,0.037581191666666666
060904,0.038282808333333335
060905,0.035051125
060906,0.036388333333333335
060907,0.03324766666666667
061001,0.030909591666666666
061002,0.0322281
061003,0.03284200833333333
061004,0.028623833333333334
061005,0.03290925
061006,0.033106825
061007,0.03256959166666667
061101,0.03316051666666667
061102,0.03634635
061103,0.028864391666666666
061104,0.027752375
061105,0.03186424166666667
061106,0.036390266666666664
061107,0.027220166666666667
061108,0.0390328
061109,0.034832383333333335
061110,0.03757285
061111,0.027977791666666665
061112,0.028176375
061113,0.035703591666666666
061201,0.0319483
061202,0.03501019166666667
061203,0.036167058333333335
061204,0.028832774999999998
061301,0.03509295
061302,0.032860183333333334
061303,0.0346178
061304,0.03480623333333333
061305,0.034455091666666667
061306,0.030370016666666666
061307,0.0303504
061308,0.03210193333333333
061309,0.0355894
061310,0.032376633333333335
061311,0.03134973333333333
070101,0.04070033333333333
070102,0.040143649999999996
070103,0.04030895833333333
070104,0.04005275
070105,0.0404542
070106,0.041130725
070107,0.040910908333333336
080101,0.026082725
080102,0.025640633333333333
080103,0.025708633333333335
080104,0.026435558333333335
080105,0.026842191666666668
080106,0.02583429166666667
080107,0.026500266666666668
080108,0.027218116666666667
080201,0.025744083333333334
080202,0.025885941666666665
080203,0.027186608333333334
080204,0.025445466666666666
080205,0.02571405
080206,0.026513316666666665
080207,0.025147225000000002
080301,0.026796875
080302,0.026415833333333333
080303,0.026047541666666667
080304,0.027789758333333334
080305,0.026135716666666666
080306,0.027667191666666667
080307,0.028985908333333334
080308,0.026614575
080309,0.0271549
080401,0.026046408333333333
080402,0.026964616666666667
080403,0.026808608333333334
080404,0.026203333333333335
080405,0.026749141666666667
080406,0.026454183333333332
080407,0.027093316666666666
080408,0.031267366666666664
080501,0.025236608333333334
080502,0.024570325
080503,0.024379475
080504,0.024153775
080505,0.02306844166666667
080506,0.026312458333333334
080507,0.02480015
080508,0.025722225
080601,0.023813833333333333
080602,0.022943625
