ubigeo,swindspeed
051001,3.133886191666667
051002,3.250619925
051003,3.2306984666666665
051004,3.2350979
051005,3.250096741666667
051006,3.058103525
051007,3.0504904083333333
051008,3.2891309333333334
051009,3.183386475
051010,3.1396837833333335
051011,3.3661605916666666
051012,3.1691766916666664
051101,2.9262680833333334
051102,3.0678998833333333
051103,3.0032894666666667
051104,2.8808769666666665
051105,2.9889517666666667
051106,3.1558009666666664
051107,2.93116025
051108,3.036794075
060101,3.0413248250000002
060102,2.4324382166666667
060103,2.910365383333333
060104,2.33907945
060105,3.1947301083333333
060106,2.716158066666667
060107,2.824211583333333
060108,3.003688433333333
060109,2.6810225666666665
060110,3.0159990166666666
060111,2.994941058333333
