ubigeo,urban_area
150703,23.0024722
150704,0
150705,0
150706,0
150707,0
150708,0
150709,4.1532534
150710,0
150711,0
150712,0
150713,0
150714,39.0120706
150715,0
150716,42.8232407
150717,14.949605
150718,0
150719,9.7310887
150720,0
150721,12.0025214
150722,9.7298525
150723,2.5551621
150724,0
150725,0
150726,0
150727,15.940827
150728,141.5349178
150729,0
150730,0
150731,0
150732,0
150801,56.1769926
150802,9.7630513
150803,20.4611397
150804,12.4392537
150805,26.6560664
150806,132.6026302
150807,0
150808,19.5143875
150809,0
150810,69.9496707
150811,136.5088463
150812,70.7284267
150901,0
150902,2.3347486
150903,0
150904,0
150905,0
150906,0
151001,9.4382685
151002,0
151003,0
151004,0
151005,0
151006,58.1750958
151007,0
151008,0
151009,0
151010,0
151011,0
151012,19.3884488
151013,0
151014,0
151015,0
151016,0
151017,0.4188999
151018,0
151019,0
151020,48.4375238
151021,0
151022,0
151023,0
151024,27.1135986
151025,0
151026,0
151027,0
151028,0
151029,0
151030,0
151031,29.0124392
151032,0
151033,0
160101,143.2053913
160102,9.9108375
160103,9.9094819
160104,19.8299769
160105,0
160106,0
160107,0
160108,47.5031796
160110,0
160112,40.3872617
160113,308.5761781
160201,88.9359963
160202,0
160205,19.7837162
160206,49.4640856
160210,0
160211,9.8796769
160301,39.6125025
160302,0
160303,39.6794181
160304,99.1259912
160305,0
160401,19.8193706
160402,0
160403,13.3216741
160404,9.9107344
160501,69.2674244
160502,0
160503,0
160504,29.6505888
160505,0
160506,0
160507,0
160508,0
160509,9.8852519
160510,9.8977163
160511,23.3577259
160601,19.6881994
160602,0
160603,19.6831337
160604,9.8568044
160605,19.7492356
160606,19.7257138
160701,19.7974887
160702,0
160703,9.9012494
160704,0
160705,0
160706,29.7644388
160801,0
160802,0
160803,0
160804,0
170101,204.6538699
170102,0
170103,28.0858305
170104,0
170201,0
170202,0
170203,0
170204,0
170301,18.4041871
170302,29.2255387
170303,0
180101,161.5082912
180102,0
180103,0
180104,0
180105,2.0184128
180106,9.5045262
180201,0
180202,14.9557261
180203,0
180204,0
180205,0
180206,0.524094
180207,19.0761681
180208,0
180209,0
180210,62.3428587
180211,0
180301,185.0017529
180302,1.2266487
180303,117.5722287
190101,34.3890163
190102,9.7667144
190103,0
190104,0
190105,19.5195556
190106,0
190107,16.3117404
190108,0
190109,71.0707934
190110,0
190111,2.2969215
190112,39.0422531
190113,54.6888022
190201,0
190202,0
190203,0
190204,0
190205,0
190206,0
190207,0
190208,0
190301,38.27076
190302,9.9985959
190303,0
190304,19.5608675
190305,0
190306,9.7769231
190307,29.2905694
190308,0
200101,156.0957713
200104,242.5445867
200105,108.8163606
200107,0
