ubigeo_ori,ubigeo_des,cases
150125,150113,683
150125,150114,361
150125,150115,257
150125,150116,390
150125,150117,14057
150125,150118,110
150125,150119,22
150125,150120,107
150125,150121,310
150125,150122,294
150125,150123,30
150125,150125,73172
150125,150128,355
150125,150129,17
150125,150130,171
150125,150131,359
150125,150132,253
150125,150133,37
150125,150134,37
150125,150135,1574
150125,150136,858
150125,150137,157
150125,150139,60
150125,150140,412
150125,150141,93
150125,150142,64
150125,150143,24
150126,150101,146
150126,150103,29
150126,150104,4
150126,150105,11
150126,150108,153
150126,150109,3
150126,150110,5
150126,150111,16
150126,150112,4
150126,150113,32
150126,150114,56
150126,150115,28
150126,150116,30
150126,150117,14
150126,150118,5
150126,150119,727
150126,150120,9
150126,150121,13
150126,150122,78
150126,150123,62
150126,150125,1
150126,150126,1948
150126,150127,153
150126,150128,7
150126,150129,38
150126,150130,23
150126,150131,35
150126,150132,35
150126,150133,95
150126,150134,11
150126,150135,7
150126,150136,26
150126,150137,22
150126,150138,3
150126,150139,16
150126,150140,213
150126,150141,13
150126,150142,275
150126,150143,39
150127,150101,72
150127,150103,2
150127,150104,1
150127,150105,10
150127,150106,1
150127,150108,43
150127,150110,3
150127,150111,1
150127,150112,1
150127,150113,18
150127,150114,30
150127,150115,10
150127,150116,15
150127,150117,13
150127,150119,155
150127,150120,3
150127,150121,9
150127,150122,30
150127,150123,28
150127,150124,7
150127,150126,21
150127,150127,1252
150127,150128,1
150127,150129,111
150127,150130,8
150127,150131,15
150127,150132,4
150127,150133,25
150127,150134,9
150127,150135,6
150127,150136,5
150127,150137,5
150127,150138,1
150127,150140,103
150127,150141,4
150127,150142,78
150127,150143,4
150128,150101,5556
150128,150102,3
150128,150103,80
150128,150104,61
150128,150105,1077
150128,150106,32
150128,150107,6
150128,150108,124
150128,150109,3
150128,150110,156
150128,150111,115
150128,150112,402
150128,150113,1095
150128,150114,586
150128,150115,272
150128,150116,1307
150128,150117,1403
150128,150118,102
150128,150119,9
150128,150120,156
150128,150121,435
150128,150122,514
150128,150123,32
150128,150124,1
150128,150125,55
150128,150128,31649
150128,150129,6
150128,150130,202
150128,150131,830
150128,150132,1059
150128,150133,27
150128,150134,49
150128,150135,615
150128,150136,555
150128,150137,173
150128,150139,1
150128,150140,600
150128,150141,200
150128,150142,46
150128,150143,23
150129,150101,75
150129,150103,7
150129,150104,2
150129,150105,8
150129,150108,44
150129,150111,1
150129,150112,2
150129,150113,21
150129,150114,32
150129,150115,5
150129,150116,25
150129,150117,10
150129,150119,81
150129,150120,5
150129,150121,6
150129,150122,35
150129,150123,22
150129,150124,6
150129,150126,2
150129,150127,118
150129,150128,2
150129,150129,1324
150129,150130,13
150129,150131,17
150129,150132,5
150129,150133,19
150129,150134,4
150129,150135,8
150129,150136,10
150129,150137,6
150129,150138,10
150129,150140,132
150129,150141,9
150129,150142,68
150129,150143,6
150130,150101,1136
150130,150103,349
150130,150104,117
150130,150105,154
150130,150106,4
150130,150107,8
150130,150108,588
150130,150109,9
150130,150110,20
150130,150111,36
150130,150112,37
150130,150113,966
150130,150114,2962
150130,150115,427
150130,150116,494
150130,150117,118
150130,150118,31
150130,150119,17
150130,150120,143
150130,150121,358
150130,150122,1674
150130,150123,71
150130,150125,7
150130,150128,102
150130,150129,1
150130,150130,9802
150130,150131,1744
150130,150132,78
150130,150133,43
150130,150134,432
150130,150135,211
150130,150136,838
150130,150137,157
150130,150140,6274
150130,150141,769
150130,150142,138
150130,150143,19
150131,150101,447
150131,150103,44
150131,150104,124
150131,150105,90
150131,150106,2
150131,150107,1
150131,150108,437
150131,150109,7
150131,150110,10
150131,150111,3
150131,150112,21
150131,150113,889
150131,150114,1142
150131,150115,72
150131,150116,418
150131,150117,45
150131,150118,14
150131,150119,2
150131,150120,248
150131,150121,251
150131,150122,2142
150131,150123,26
150131,150125,5
150131,150127,1
150131,150128,33
150131,150130,407
150131,150131,4767
150131,150132,26
150131,150133,11
150131,150134,16
150131,150135,100
150131,150136,875
150131,150137,31
150131,150139,1
150131,150140,1903
150131,150141,184
150131,150142,63
150131,150143,6
150132,150101,17445
150132,150102,43
150132,150103,579
150132,150104,217
150132,150105,2273
150132,150106,65
150132,150107,64
150132,150108,796
150132,150109,29
150132,150110,382
150132,150111,1081
150132,150112,1196
150132,150113,3725
150132,150114,2994
150132,150115,1879
150132,150116,3494
150132,150117,2158
150132,150118,1030
150132,150119,81
150132,150120,593
150132,150121,1470
150132,150122,1633
150132,150123,148
150132,150124,7
150132,150125,254
150132,150127,1
150132,150128,2348
150132,150129,32
150132,150130,1226
150132,150131,2121
150132,150132,256036
150132,150133,269
150132,150134,286
150132,150135,1122
150132,150136,2227
150132,150137,1267
150132,150139,9
150132,150140,3750
150132,150141,601
150132,150142,389
150132,150143,165
150133,150101,4318
150133,150102,14
150133,150103,224
150133,150104,338
150133,150105,489
150133,150106,15
150133,150107,19
150133,150108,3066
150133,150109,6
150133,150110,91
150133,150111,149
150133,150112,209
150133,150113,1259
150133,150114,1307
150133,150115,422
150133,150116,1096
150133,150117,636
150133,150118,154
150133,150119,104
150133,150120,242
150133,150121,612
150133,150122,2599
150133,150123,200
150133,150124,2
150133,150125,60
150133,150127,1
150133,150128,381
150133,150129,8
150133,150130,856
150133,150131,747
150133,150132,499
150133,150133,67779
150133,150134,247
150133,150135,284
150133,150136,654
150133,150137,345
150133,150139,3
150133,150140,7457
150133,150141,725
150133,150142,3498
150133,150143,1718
150134,150101,960
150134,150103,711
150134,150104,32
150134,150105,179
150134,150106,1
150134,150107,4
150134,150108,110
150134,150109,1
150134,150110,17
150134,150111,62
150134,150112,29
150134,150113,397
150134,150114,696
150134,150115,743
150134,150116,466
150134,150117,84
150134,150118,33
150134,150119,2
150134,150120,59
150134,150121,176
150134,150122,285
150134,150123,19
150134,150124,1
150134,150125,7
150134,150128,58
150134,150130,1048
150134,150131,384
150134,150132,106
150134,150133,17
150134,150134,6279
150134,150135,67
150134,150136,242
150134,150137,156
150134,150139,1
150134,150140,1026
150134,150141,144
150134,150142,60
150134,150143,15
150135,150101,12251
150135,150102,50
150135,150103,199
150135,150104,181
150135,150105,2634
150135,150106,162
150135,150107,38
150135,150108,589
150135,150109,8
150135,150110,2289
150135,150111,372
150135,150112,5332
150135,150113,3305
150135,150114,2005
150135,150115,629
150135,150116,1986
150135,150117,27811
150135,150118,270
150135,150119,44
150135,150120,652
150135,150121,2220
150135,150122,1371
150135,150123,120
150135,150124,2
150135,150125,485
150135,150128,2551
150135,150129,15
150135,150130,562
150135,150131,2282
150135,150132,566
150135,150133,66
150135,150134,120
150135,150135,112155
150135,150136,4758
150135,150137,729
150135,150139,15
150135,150140,2299
150135,150141,549
150135,150142,171
150135,150143,66
150136,150101,3148
150136,150102,1
150136,150103,30
150136,150104,112
150136,150105,1145
150136,150106,8
150136,150107,7
150136,150108,377
150136,150109,3
150136,150110,53
150136,150111,53
150136,150112,104
150136,150113,1894
150136,150114,1172
150136,150115,158
150136,150116,749
150136,150117,433
150136,150118,38
150136,150119,8
150136,150120,2592
150136,150121,2550
150136,150122,1092
150136,150123,38
150136,150125,11
150136,150128,162
150136,150129,1
150136,150130,338
150136,150131,2383
150136,150132,84
150136,150133,7
150136,150134,57
150136,150135,305
150136,150136,24442
150136,150137,189
150136,150139,1
150136,150140,1520
150136,150141,284
150136,150142,127
150136,150143,12
150137,150101,3586
150137,150102,5
150137,150103,3721
150137,150104,69
150137,150105,442
150137,150106,15
150137,150107,37
150137,150108,156
150137,150109,11
150137,150110,71
150137,150111,1038
150137,150112,317
150137,150113,787
150137,150114,2907
150137,150115,525
150137,150116,1023
150137,150117,637
150137,150118,352
150137,150119,25
150137,150120,131
150137,150121,325
150137,150122,370
150137,150123,55
150137,150124,1
150137,150125,39
150137,150128,320
150137,150129,3
150137,150130,419
150137,150131,476
150137,150132,1019
150137,150133,52
150137,150134,255
150137,150135,262
150137,150136,518
150137,150137,36926
150137,150139,2
150137,150140,1483
150137,150141,157
150137,150142,86
150137,150143,29
150138,150101,8
150138,150103,1
150138,150108,5
150138,150113,1
150138,150114,6
150138,150115,1
150138,150116,6
150138,150117,3
150138,150119,14
150138,150121,3
150138,150122,6
150138,150123,2
150138,150126,1
150138,150127,12
150138,150129,91
150138,150130,1
150138,150131,3
150138,150132,1
150138,150133,2
150138,150136,1
150138,150137,1
150138,150138,63
150138,150140,20
150138,150142,9
150138,150143,1
150139,150101,244
150139,150102,656
150139,150103,12
150139,150104,3
150139,150105,33
150139,150106,22
150139,150107,1
150139,150108,6
150139,150109,1
150139,150110,99
150139,150111,13
150139,150112,112
150139,150113,55
150139,150114,37
150139,150115,24
150139,150116,40
150139,150117,622
150139,150118,5
150139,150119,4
150139,150120,16
150139,150121,26
150139,150122,28
150139,150123,6
150139,150124,1
150139,150125,480
150139,150128,28
150139,150129,1
150139,150130,12
150139,150131,32
150139,150132,44
150139,150133,18
150139,150134,9
150139,150135,129
150139,150136,73
150139,150137,14
150139,150139,4894
150139,150140,38
150139,150141,13
150139,150142,18
150139,150143,10
150140,150101,3104
150140,150102,4
150140,150103,457
150140,150104,4141
150140,150105,342
150140,150106,5
150140,150107,17
150140,150108,5471
150140,150109,5
150140,150110,59
150140,150111,73
150140,150112,104
150140,150113,2261
150140,150114,6684
150140,150115,300
150140,150116,976
150140,150117,434
150140,150118,84
150140,150119,47
150140,150120,349
150140,150121,821
150140,150122,7453
150140,150123,190
150140,150125,29
150140,150127,9
150140,150128,198
150140,150129,1
150140,150130,2494
150140,150131,2374
150140,150132,256
150140,150133,1074
150140,150134,214
150140,150135,424
150140,150136,1819
150140,150137,337
150140,150139,1
150140,150140,54992
150140,150141,1337
150140,150142,869
150140,150143,187
150141,150101,1246
150141,150103,60
150141,150104,297
150141,150105,192
150141,150106,5
150141,150107,7
150141,150108,469
150141,150109,7
150141,150110,20
150141,150111,26
150141,150112,37
150141,150113,635
150141,150114,838
150141,150115,143
150141,150116,576
150141,150117,136
150141,150118,22
150141,150119,5
150141,150120,134
150141,150121,259
150141,150122,3378
150141,150123,39
150141,150125,11
150141,150128,78
150141,150129,2
150141,150130,1378
150141,150131,1463
150141,150132,68
150141,150133,82
150141,150134,78
150141,150135,120
150141,150136,461
150141,150137,108
150141,150140,3137
150141,150141,8821
150141,150142,127
150141,150143,36
150142,150101,4395
150142,150102,14
150142,150103,215
150142,150104,170
150142,150105,413
150142,150106,18
150142,150107,20
150142,150108,1779
150142,150109,10
150142,150110,106
150142,150111,132
150142,150112,223
150142,150113,998
150142,150114,918
150142,150115,379
150142,150116,1014
150142,150117,832
150142,150118,213
150142,150119,905
150142,150120,178
150142,150121,453
150142,150122,1662
150142,150123,228
150142,150124,7
150142,150125,71
150142,150126,7
150142,150127,5
150142,150128,378
150142,150129,13
150142,150130,637
150142,150131,594
150142,150132,593
150142,150133,3588
150142,150134,248
150142,150135,271
150142,150136,535
150142,150137,317
150142,150139,4
150142,150140,4850
150142,150141,509
150142,150142,91200
150142,150143,2317
150143,150101,4224
150143,150102,7
150143,150103,238
150143,150104,250
150143,150105,399
150143,150106,20
150143,150107,13
150143,150108,1233
150143,150109,9
150143,150110,81
150143,150111,118
150143,150112,182
150143,150113,1002
150143,150114,878
150143,150115,361
150143,150116,1028
150143,150117,681
150143,150118,197
150143,150119,384
150143,150120,188
150143,150121,510
150143,150122,2123
150143,150123,355
150143,150125,71
150143,150126,1
150143,150127,1
150143,150128,306
150143,150129,13
150143,150130,806
150143,150131,659
150143,150132,621
150143,150133,5734
150143,150134,263
150143,150135,257
150143,150136,521
150143,150137,298
150143,150139,4
150143,150140,5833
150143,150141,653
150143,150142,4848
150143,150143,84974
